hp_idx,k,distribution,cell_split_seed,bin_size,isi_dist_bins_start,isi_dist_bins_stop,isi_dist_bins_step,fr_dist_bins_start,fr_dist_bins_stop,fr_dist_bins_step,lr,n_hiddens,dropout_p,weight_decay,train_f1,test_f1,val_f1
0,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,51,1,0.0001,"600,300,150,75,38",,,0.530113935436743,0.4161530041141557,0.3723122572906897
1,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,51,1,0.0001,"600,300,225,150,75,38",,,0.5067992474836418,0.4152000695927125,0.37650817894901
2,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,51,1,0.0001,"600,600,300,300,150,150,75,75,38,38",,,0.4949645997584767,0.3693745326788255,0.3116720128880072
3,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,51,1,0.001,"600,300,150,75,38",,,0.6031626689484167,0.4274717292066824,0.367007241702183
4,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,51,1,0.001,"600,300,225,150,75,38",,,0.5785447590938135,0.4241798528279544,0.3745233192212579
5,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,51,1,0.001,"600,600,300,300,150,150,75,75,38,38",,,0.5286406315854781,0.4346641766143478,0.3709104345582355
6,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,51,1,0.01,"600,300,150,75,38",,,0.3402046604215161,0.347958651086941,0.2953639470102777
7,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,51,1,0.01,"600,300,225,150,75,38",,,0.3034077329705988,0.3049955558705609,0.2613299643381181
8,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,51,1,0.01,"600,600,300,300,150,150,75,75,38,38",,,0.1687607797317415,0.1787941373036708,0.1451204756299903
9,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,51,1,0.1,"600,300,150,75,38",,,0.0065359477124183,0.0065359477124183,0.0065359477124183
10,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,51,1,0.1,"600,300,225,150,75,38",,,0.0065359477124183,0.0065359477124183,0.0065359477124183
11,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,51,1,0.1,"600,600,300,300,150,150,75,75,38,38",,,0.0065359477124183,0.0065359477124183,0.0065359477124183
12,17celltypes,ISI,1234,0.2,0,0.401,0.001,0,51,1,0.0001,"300,150,75,38",,,0.4605660836116361,0.4425796553527834,0.388280626757899
13,17celltypes,ISI,1234,0.2,0,0.401,0.001,0,51,1,0.0001,"300,225,150,75,38",,,0.4643997243031896,0.4375276494935718,0.3808425234431159
14,17celltypes,ISI,1234,0.2,0,0.401,0.001,0,51,1,0.0001,"300,300,150,150,75,75,38,38",,,0.4315450898833183,0.403813756631548,0.3474318729949893
15,17celltypes,ISI,1234,0.2,0,0.401,0.001,0,51,1,0.001,"300,150,75,38",,,0.5499293604088599,0.4492862157447515,0.3955522519246872
16,17celltypes,ISI,1234,0.2,0,0.401,0.001,0,51,1,0.001,"300,225,150,75,38",,,0.5330001064131393,0.4455550669037206,0.3889580069675034
17,17celltypes,ISI,1234,0.2,0,0.401,0.001,0,51,1,0.001,"300,300,150,150,75,75,38,38",,,0.4858618334729597,0.4336991807237164,0.3815695958642833
18,17celltypes,ISI,1234,0.2,0,0.401,0.001,0,51,1,0.01,"300,150,75,38",,,0.4156941274371041,0.4172966533862496,0.3502475396555168
19,17celltypes,ISI,1234,0.2,0,0.401,0.001,0,51,1,0.01,"300,225,150,75,38",,,0.419195785436329,0.4098396415184904,0.357520114410734
20,17celltypes,ISI,1234,0.2,0,0.401,0.001,0,51,1,0.01,"300,300,150,150,75,75,38,38",,,0.2911194102833178,0.2915122665911625,0.254221145905972
21,17celltypes,ISI,1234,0.2,0,0.401,0.001,0,51,1,0.1,"300,150,75,38",,,0.0065361292715647,0.0065366740095304,0.0065359477124183
22,17celltypes,ISI,1234,0.2,0,0.401,0.001,0,51,1,0.1,"300,225,150,75,38",,,0.0065359477124183,0.0065359477124183,0.0065359477124183
23,17celltypes,ISI,1234,0.2,0,0.401,0.001,0,51,1,0.1,"300,300,150,150,75,75,38,38",,,0.0065359477124183,0.0065359477124183,0.0065359477124183
24,17celltypes,ISI,1234,0.2,0,0.401,0.002,0,51,1,0.0001,"150,75,38",,,0.4223856247827391,0.4301211925477208,0.3688459337901286
25,17celltypes,ISI,1234,0.2,0,0.401,0.002,0,51,1,0.0001,"150,150,75,75,38,38",,,0.3782691164325524,0.3840637406721388,0.3312058372793096
26,17celltypes,ISI,1234,0.2,0,0.401,0.002,0,51,1,0.001,"150,75,38",,,0.4983776585688169,0.4535361095637532,0.4148004010430713
27,17celltypes,ISI,1234,0.2,0,0.401,0.002,0,51,1,0.001,"150,150,75,75,38,38",,,0.4791702784197451,0.4541607868317269,0.4065159985115459
28,17celltypes,ISI,1234,0.2,0,0.401,0.002,0,51,1,0.01,"150,75,38",,,0.4753192306152787,0.4346656913589819,0.394637006504868
29,17celltypes,ISI,1234,0.2,0,0.401,0.002,0,51,1,0.01,"150,150,75,75,38,38",,,0.3766173221816583,0.385210671976998,0.3383600532283695
30,17celltypes,ISI,1234,0.2,0,0.401,0.002,0,51,1,0.1,"150,75,38",,,0.0065359477124183,0.0065359477124183,0.0065361292715647
31,17celltypes,ISI,1234,0.2,0,0.401,0.002,0,51,1,0.1,"150,150,75,75,38,38",,,0.0065359477124183,0.0065359477124183,0.0065359477124183
32,17celltypes,ISI,1234,0.2,0,0.401,0.004,0,51,1,0.0001,"75,38",,,0.3806252899356526,0.3902244493916152,0.3284658737792589
33,17celltypes,ISI,1234,0.2,0,0.401,0.004,0,51,1,0.0001,"75,75,38,38",,,0.3799307321189406,0.400843003405093,0.3501270303726135
34,17celltypes,ISI,1234,0.2,0,0.401,0.004,0,51,1,0.001,"75,38",,,0.4570878607007045,0.4634485572031114,0.4121495810556793
100,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,51,1,0.0001,"600,300,150,75,38",,,,,
101,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,51,1,0.001,"600,300,150,75,38",,,,,
102,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,51,1,0.01,"600,300,150,75,38",,,,,
103,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,51,1,0.0001,"800,1000,600,300,150,75,38",,,,,
104,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,51,1,0.001,"800,1000,600,300,150,75,38",,,,,
105,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,51,1,0.01,"800,1000,600,300,150,75,38",,,,,
106,17celltypes,ISI,1234,0.2,0,0.401,0.00025,0,51,1,0.0001,"1200,600,300,150,75,38",,,,,
107,17celltypes,ISI,1234,0.2,0,0.401,0.00025,0,51,1,0.001,"1200,600,300,150,75,38",,,,,
123,17celltypes,ISI,1234,0.2,0,0.401,0.0001,0,51,1,0.01,"2400,1200,600,300,150,75,38",,,,,
