hp_idx,k,distribution,cell_split_seed,bin_size,isi_dist_bins_start,isi_dist_bins_stop,isi_dist_bins_step,fr_dist_bins_start,fr_dist_bins_stop,fr_dist_bins_step,lr,n_hiddens
0,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,51,1,0.0001,"600,300,150,75,38"
1,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,51,1,0.0001,"600,300,225,150,75,38"
2,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,51,1,0.0001,"600,600,300,300,150,150,75,75,38,38"
3,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,51,1,0.001,"600,300,150,75,38"
4,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,51,1,0.001,"600,300,225,150,75,38"
5,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,51,1,0.001,"600,600,300,300,150,150,75,75,38,38"
6,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,51,1,0.01,"600,300,150,75,38"
7,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,51,1,0.01,"600,300,225,150,75,38"
8,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,51,1,0.01,"600,600,300,300,150,150,75,75,38,38"
9,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,51,1,0.1,"600,300,150,75,38"
10,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,51,1,0.1,"600,300,225,150,75,38"
11,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,51,1,0.1,"600,600,300,300,150,150,75,75,38,38"
12,17celltypes,ISI,1234,0.2,0,0.401,0.001,0,51,1,0.0001,"300,150,75,38"
13,17celltypes,ISI,1234,0.2,0,0.401,0.001,0,51,1,0.0001,"300,225,150,75,38"
14,17celltypes,ISI,1234,0.2,0,0.401,0.001,0,51,1,0.0001,"300,300,150,150,75,75,38,38"
15,17celltypes,ISI,1234,0.2,0,0.401,0.001,0,51,1,0.001,"300,150,75,38"
16,17celltypes,ISI,1234,0.2,0,0.401,0.001,0,51,1,0.001,"300,225,150,75,38"
17,17celltypes,ISI,1234,0.2,0,0.401,0.001,0,51,1,0.001,"300,300,150,150,75,75,38,38"
18,17celltypes,ISI,1234,0.2,0,0.401,0.001,0,51,1,0.01,"300,150,75,38"
19,17celltypes,ISI,1234,0.2,0,0.401,0.001,0,51,1,0.01,"300,225,150,75,38"
20,17celltypes,ISI,1234,0.2,0,0.401,0.001,0,51,1,0.01,"300,300,150,150,75,75,38,38"
21,17celltypes,ISI,1234,0.2,0,0.401,0.001,0,51,1,0.1,"300,150,75,38"
22,17celltypes,ISI,1234,0.2,0,0.401,0.001,0,51,1,0.1,"300,225,150,75,38"
23,17celltypes,ISI,1234,0.2,0,0.401,0.001,0,51,1,0.1,"300,300,150,150,75,75,38,38"
24,17celltypes,ISI,1234,0.2,0,0.401,0.002,0,51,1,0.0001,"150,75,38"
25,17celltypes,ISI,1234,0.2,0,0.401,0.002,0,51,1,0.0001,"150,150,75,75,38,38"
26,17celltypes,ISI,1234,0.2,0,0.401,0.002,0,51,1,0.001,"150,75,38"
27,17celltypes,ISI,1234,0.2,0,0.401,0.002,0,51,1,0.001,"150,150,75,75,38,38"
28,17celltypes,ISI,1234,0.2,0,0.401,0.002,0,51,1,0.01,"150,75,38"
29,17celltypes,ISI,1234,0.2,0,0.401,0.002,0,51,1,0.01,"150,150,75,75,38,38"
30,17celltypes,ISI,1234,0.2,0,0.401,0.002,0,51,1,0.1,"150,75,38"
31,17celltypes,ISI,1234,0.2,0,0.401,0.002,0,51,1,0.1,"150,150,75,75,38,38"
32,17celltypes,ISI,1234,0.2,0,0.401,0.004,0,51,1,0.0001,"75,38"
33,17celltypes,ISI,1234,0.2,0,0.401,0.004,0,51,1,0.0001,"75,75,38,38"
34,17celltypes,ISI,1234,0.2,0,0.401,0.004,0,51,1,0.001,"75,38"
35,17celltypes,ISI,1234,0.2,0,0.401,0.004,0,51,1,0.001,"75,75,38,38"
36,17celltypes,ISI,1234,0.2,0,0.401,0.004,0,51,1,0.01,"75,38"
37,17celltypes,ISI,1234,0.2,0,0.401,0.004,0,51,1,0.01,"75,75,38,38"
38,17celltypes,ISI,1234,0.2,0,0.401,0.004,0,51,1,0.1,"75,38"
39,17celltypes,ISI,1234,0.2,0,0.401,0.004,0,51,1,0.1,"75,75,38,38"
40,17celltypes,ISIFR,1234,0.2,0,0.401,0.002,0,21,1,0.0001,"150,75,38"
41,17celltypes,ISIFR,1234,0.2,0,0.401,0.002,0,21,1,0.0001,"150,150,75,75,38,38"
42,17celltypes,ISIFR,1234,0.2,0,0.401,0.002,0,21,1,0.001,"150,75,38"
43,17celltypes,ISIFR,1234,0.2,0,0.401,0.002,0,21,1,0.001,"150,150,75,75,38,38"
44,17celltypes,ISIFR,1234,0.2,0,0.401,0.002,0,21,1,0.01,"150,75,38"
45,17celltypes,ISIFR,1234,0.2,0,0.401,0.002,0,21,1,0.01,"150,150,75,75,38,38"
46,17celltypes,ISIFR,1234,0.2,0,0.401,0.002,0,21,1,0.1,"150,75,38"
47,17celltypes,ISIFR,1234,0.2,0,0.401,0.002,0,21,1,0.1,"150,150,75,75,38,38"
48,17celltypes,ISIFR,1234,0.1,0,0.401,0.002,0,21,1,0.0001,"150,75,38"
49,17celltypes,ISIFR,1234,0.1,0,0.401,0.002,0,21,1,0.0001,"150,150,75,75,38,38"
50,17celltypes,ISIFR,1234,0.1,0,0.401,0.002,0,21,1,0.001,"150,75,38"
51,17celltypes,ISIFR,1234,0.1,0,0.401,0.002,0,21,1,0.001,"150,150,75,75,38,38"
52,17celltypes,ISIFR,1234,0.1,0,0.401,0.002,0,21,1,0.01,"150,75,38"
53,17celltypes,ISIFR,1234,0.1,0,0.401,0.002,0,21,1,0.01,"150,150,75,75,38,38"
54,17celltypes,ISIFR,1234,0.1,0,0.401,0.002,0,21,1,0.1,"150,75,38"
55,17celltypes,ISIFR,1234,0.1,0,0.401,0.002,0,21,1,0.1,"150,150,75,75,38,38"
56,17celltypes,ISIFR,1234,0.05,0,0.401,0.002,0,21,1,0.0001,"150,75,38"
57,17celltypes,ISIFR,1234,0.05,0,0.401,0.002,0,21,1,0.0001,"150,150,75,75,38,38"
58,17celltypes,ISIFR,1234,0.05,0,0.401,0.002,0,21,1,0.001,"150,75,38"
