hp_idx,k,distribution,cell_split_seed,bin_size,isi_dist_bins_start,isi_dist_bins_stop,isi_dist_bins_step,fr_dist_bins_start,fr_dist_bins_stop,fr_dist_bins_step,lr,n_hiddens
200,17celltypes,ISIFR,1234,0.2,0,0.401,0.0005,0,21,1,0.0001,"600,300,150,75,38"
201,17celltypes,ISIFR,1234,0.1,0,0.401,0.0005,0,21,1,0.0001,"600,300,150,75,38"
202,17celltypes,ISIFR,1234,0.05,0,0.401,0.0005,0,21,1,0.0001,"600,300,150,75,38"
203,17celltypes,ISIFR,1234,0.2,0,0.401,0.0005,0,21,1,0.0001,"800,1000,600,300,150,75,38"
204,17celltypes,ISIFR,1234,0.1,0,0.401,0.0005,0,21,1,0.0001,"800,1000,600,300,150,75,39"
205,17celltypes,ISIFR,1234,0.05,0,0.401,0.0005,0,21,1,0.0001,"800,1000,600,300,150,75,40"
206,17celltypes,ISIFR,1234,0.2,0,0.401,0.00025,0,21,1,0.0001,"1200,600,300,150,75,38"
207,17celltypes,ISIFR,1234,0.1,0,0.401,0.00025,0,21,1,0.0001,"1200,600,300,150,75,38"
208,17celltypes,ISIFR,1234,0.05,0,0.401,0.00025,0,21,1,0.0001,"1200,600,300,150,75,38"
209,17celltypes,ISIFR,1234,0.2,0,0.401,0.00025,0,21,1,0.0001,"1600,2000,1600,1200,600,300,150,75,38"
210,17celltypes,ISIFR,1234,0.1,0,0.401,0.00025,0,21,1,0.0001,"1600,2000,1600,1200,600,300,150,75,38"
211,17celltypes,ISIFR,1234,0.05,0,0.401,0.00025,0,21,1,0.0001,"1600,2000,1600,1200,600,300,150,75,38"
