hp_idx,k,distribution,cell_split_seed,bin_size,isi_dist_bins_start,isi_dist_bins_stop,isi_dist_bins_step,fr_dist_bins_start,fr_dist_bins_stop,fr_dist_bins_step,lr,n_hiddens,dropout_p,weight_decay
1020,17celltypes,ISI,1234,0.2,0,0.401,0.00025,0,21,1,0.001,"1200,600,300,150,75,38",0.1,0
1021,17celltypes,ISI,1234,0.2,0,0.401,0.00025,0,21,1,0.001,"1200,600,300,150,75,38",0.2,0
1022,17celltypes,ISI,1234,0.2,0,0.401,0.00025,0,21,1,0.001,"1200,600,300,150,75,38",0.3,0
1023,17celltypes,ISI,1234,0.2,0,0.401,0.00025,0,21,1,0.001,"1200,600,300,150,75,38",0,0.000001
1024,17celltypes,ISI,1234,0.2,0,0.401,0.00025,0,21,1,0.001,"1200,600,300,150,75,38",0,0.00001
1025,17celltypes,ISI,1234,0.2,0,0.401,0.00025,0,21,1,0.001,"1200,600,300,150,75,38",0,0.0001
1026,17celltypes,ISI,1234,0.2,0,0.401,0.00025,0,21,1,0.001,"1200,600,300,150,75,38",0.1,0.00001
1027,17celltypes,ISI,1234,0.2,0,0.401,0.00025,0,21,1,0.001,"1200,600,300,150,75,38",0.2,0.00001
1028,17celltypes,ISI,1234,0.2,0,0.401,0.00025,0,21,1,0.001,"1200,600,300,150,75,38",0.3,0.00001
1029,17celltypes,ISI,1234,0.2,0,0.401,0.00025,0,21,1,0.001,"1200,600,300,150,75,38",0.2,0.000001
1030,17celltypes,ISI,1234,0.2,0,0.401,0.00025,0,21,1,0.001,"1200,600,300,150,75,38",0.2,0.00001
1031,17celltypes,ISI,1234,0.2,0,0.401,0.00025,0,21,1,0.001,"1200,600,300,150,75,38",0.2,0.0001
