set,unit_id
train,124392
train,185711
train,80307
train,82651
train,110199
train,80263
train,181047
train,72976
train,74200
train,110166
train,154776
train,146362
train,71070
train,23165
train,109893
train,168330
train,168513
train,179935
train,98627
train,123267
train,111737
train,80909
train,176867
train,175328
train,99907
train,154943
train,123836
train,179090
train,21426
train,25939
train,25161
train,81824
train,80851
train,77363
train,155319
train,179356
train,184756
train,177740
train,122709
train,70913
train,124709
train,75176
train,79903
train,100292
train,75737
train,26720
train,179718
train,100540
train,122719
train,111454
train,22921
train,78428
train,81848
train,184281
train,184305
train,71453
train,110977
train,159621
train,76934
train,109033
train,111682
train,167815
train,178183
train,181394
train,176813
train,124964
train,80225
train,87249
train,178263
train,20984
train,81645
train,86999
train,101104
train,178141
train,124376
train,155155
train,180334
train,123092
train,82839
train,125205
train,110669
train,81271
train,181316
train,174933
train,21556
train,78652
train,21655
train,124008
train,79995
train,179278
train,125154
train,72369
train,125027
train,100060
train,21076
train,109620
train,22110
train,24033
train,78987
train,76403
train,146218
train,22137
train,22943
train,26612
train,78983
train,144152
train,158854
train,81671
train,22945
train,22876
train,123633
train,73470
train,75230
train,176969
train,23206
train,78808
train,168544
train,75862
train,21037
train,179781
train,123862
train,26150
train,139199
train,180439
train,72661
train,182641
train,76501
train,72805
train,125386
train,159363
train,169003
train,73400
train,82142
train,173090
train,21594
train,184459
train,77406
train,182596
train,72831
train,20996
train,82356
train,185569
train,173724
train,22713
train,158954
train,25549
train,183160
train,82254
train,180839
train,82582
train,98741
train,124599
train,181436
train,172692
train,80583
train,159303
train,178751
train,26112
train,186063
train,184371
train,74255
train,173068
train,112430
train,155006
train,26793
train,76467
train,181147
train,178967
train,98894
train,146070
train,180993
train,72851
train,25681
train,181361
train,159065
train,183772
train,168555
train,144024
train,103916
train,99596
train,184210
train,78959
train,75933
train,76897
train,175275
train,146266
train,87356
train,155257
train,178726
train,22247
train,123730
train,23610
train,23252
train,181040
train,23829
train,75815
train,177718
train,185215
train,168016
train,185232
train,73926
train,181740
train,111434
train,178749
train,183019
train,183502
train,123457
train,78402
train,181088
train,109245
train,185400
train,178076
train,72212
train,77503
train,168464
train,183224
train,155028
train,139619
train,181663
train,176709
train,175656
train,78986
train,178970
train,173294
train,25092
train,174237
train,21233
train,180160
train,100599
train,184752
train,26812
train,81634
train,179918
train,80502
train,25540
train,124321
train,154983
train,159194
train,21057
train,183548
train,109735
train,181055
train,103720
train,80546
train,167537
train,180776
train,182656
train,146298
train,174896
train,77783
train,185097
train,111338
train,109668
train,26522
train,71099
train,79798
train,25205
train,101145
train,81032
train,111440
train,109430
train,175023
train,21221
train,76686
train,23520
train,173192
train,176345
train,75249
train,122660
train,185414
train,186204
train,22260
train,174924
train,123448
train,122795
train,184415
train,123417
train,101229
train,182991
train,108780
train,182111
train,100075
train,178250
train,76107
train,23001
train,155220
train,99580
train,86600
train,177360
train,159252
train,70283
train,125128
train,185099
train,139233
train,79151
train,183516
train,123356
train,177002
