set,unit_id
train,181655
train,183753
train,76220
train,184176
train,122935
train,178246
train,22020
train,99949
train,184293
train,76673
train,123733
train,181483
train,180079
train,173666
train,149808
train,80007
train,182461
train,75192
train,168779
train,181718
train,154807
train,178049
train,70555
train,186494
train,76225
train,177639
train,111365
train,76599
train,176821
train,26587
train,25776
train,99608
train,181047
train,155219
train,71500
train,186088
train,168851
train,175655
train,109768
train,111401
train,70432
train,82748
train,70251
train,100661
train,21417
train,174862
train,168867
train,26781
train,21163
train,177363
train,110729
train,122741
train,26195
train,26451
train,168416
train,167859
train,24388
train,23779
train,183593
train,177815
train,109209
train,98947
train,182055
train,182715
train,154992
train,73902
train,26375
train,167558
train,177316
train,73621
train,103772
train,26521
train,184562
train,176878
train,124103
train,71336
train,76712
train,123079
train,72811
train,173269
train,168689
train,184100
train,100673
train,149527
train,81884
train,175356
train,73997
train,110943
train,26639
train,169030
train,77276
train,122495
train,76174
train,79175
train,177337
train,110096
train,25974
train,173985
train,167559
train,149885
train,179562
train,24142
train,123404
train,143836
train,79288
train,71196
train,87287
train,26478
train,74791
train,182446
train,149837
train,181486
train,183206
train,179909
train,181846
train,111770
train,184046
train,124436
train,73256
train,81821
train,111051
train,24840
train,99692
train,182209
train,25886
train,73358
train,22805
train,22877
train,175988
train,86909
train,112353
train,78394
train,181740
train,155034
train,175727
train,110275
train,26789
train,123266
train,178478
train,179099
train,100669
train,79506
train,70481
train,124657
train,76402
train,82696
train,174781
train,23605
train,80085
train,26754
train,76875
train,186340
train,177837
train,178508
train,87282
train,158976
train,124718
train,81501
train,22819
train,123540
train,173504
train,70797
train,168688
train,167798
train,21044
train,124239
train,23287
train,20944
train,109687
train,139190
train,185629
train,78665
train,125300
train,124208
train,72718
train,186426
train,125453
train,174476
train,73098
train,173388
train,110669
train,179416
train,104108
train,186198
train,75200
train,181395
train,75766
train,185495
train,183784
train,72363
train,177781
train,80705
train,26031
train,154351
train,179043
train,76707
train,179487
train,173049
train,80426
train,139457
train,178622
train,143295
train,21171
train,75407
train,167820
train,186310
train,172692
train,168534
train,177831
train,154273
train,178094
train,124479
train,149884
train,143704
train,87071
train,125034
train,26670
train,74082
train,176644
train,180693
train,109328
train,186507
train,86661
train,146006
train,149582
train,99768
train,22670
train,177976
train,178822
train,71593
train,177561
train,75666
train,176599
train,77651
train,111549
train,184512
train,24678
train,71979
train,24283
train,77754
train,155397
train,172946
train,70749
train,103714
train,71314
train,155263
train,25283
train,24921
train,82753
train,98756
train,177988
train,155181
train,77190
train,181995
train,25876
train,167950
train,77910
train,178528
train,167880
train,182625
train,173590
train,22756
train,26102
train,184340
train,168151
train,26649
train,24460
train,179969
train,103822
train,183285
train,76257
train,23483
train,181310
train,177063
train,77498
train,143583
train,179479
train,182583
train,185602
train,174330
train,78716
train,75587
train,21578
train,104052
train,177990
train,24699
train,125318
train,98798
train,78995
train,181166
train,178904
train,181508
train,176231
train,176980
train,179748
train,23417
train,110791
train,25755
train,110077
train,110353
train,178494
train,24660
train,123385
train,144022
train,167979
train,178733
train,123241
train,82449
train,74448
train,183513
train,125005
train,71869
train,100269
train,86975
train,99445
train,181431
train,124111
train,181816
train,100162
train,73259
train,184423
train,177097
train,78395
train,174160
train,181183
train,123088
train,76940
train,76900
train,124508
train,79625
train,70619
train,178980
train,177091
train,139314
train,71612
train,82493
train,177215
train,178393
train,75958
train,122920
train,75762
train,79464
train,74325
train,100191
train,173361
train,71449
train,72260
train,185249
train,173505
train,24438
train,176941
train,145985
train,79375
train,154400
train,80598
train,178160
train,87201
train,112386
train,100713
train,73200
train,76625
train,125259
train,26476
train,78685
train,173889
train,23520
train,183412
train,98342
train,174125
train,22288
train,111748
train,175003
train,72313
train,124347
train,23905
train,77914
train,24627
train,111230
train,175148
train,111453
train,180471
train,100774
train,149641
train,144100
train,110095
train,173293
train,174631
train,182993
train,123330
train,143711
train,174310
train,81050
train,174312
train,185054
train,185026
train,23317
train,100123
train,75292
train,79538
train,125102
train,77891
train,159214
train,73927
train,87348
train,22258
train,98713
train,184360
train,124446
train,80313
train,168716
train,24435
train,175005
train,75289
train,109314
train,80248
train,123573
train,181366
train,139709
train,25447
train,74640
train,112293
train,82782
train,110614
train,103908
train,168410
train,159269
train,73232
train,78996
train,173200
train,155102
train,82075
train,159375
train,70311
train,81097
train,122494
train,22299
train,26196
train,78633
train,23488
train,25553
train,71827
train,26610
train,182860
train,173420
train,78262
train,98294
train,77906
train,76427
train,179740
train,168983
train,172764
train,182973
train,144132
train,71088
train,185270
train,76393
train,123911
train,174049
train,124612
train,70262
train,101052
train,100467
train,176535
train,109643
train,179024
train,75996
train,159585
train,103938
train,26284
train,71621
train,71524
train,74869
train,178768
train,143579
train,76892
