set,unit_id
train,37611
train,8259
train,4156
train,45868
train,19589
train,44026
train,49536
train,46121
train,45484
train,14682
train,44460
train,41966
train,28682
train,24072
train,22797
train,46887
train,21989
train,44686
train,13699
train,7100
train,18234
train,20037
train,18472
train,1567
train,33198
train,23057
train,28048
train,9835
train,9904
train,42643
train,29820
train,42700
train,35718
train,37911
train,45145
train,6653
train,6309
train,13992
train,1560
train,4291
train,33945
train,40822
train,33593
train,21569
train,36040
train,7601
train,28297
train,41164
train,10015
train,9976
train,35578
train,36602
train,21803
train,38103
train,7088
train,23173
train,1080
train,24223
train,33018
train,47581
train,47997
train,39186
train,10334
train,5835
train,45713
train,719
train,28050
train,31049
train,41921
train,28733
train,28354
train,18180
train,49006
train,1448
train,9230
train,1023
train,2009
train,47202
train,13031
train,23707
train,27994
train,23686
train,34705
train,23895
train,36640
train,18290
train,34602
train,31462
train,8582
train,2585
train,16360
train,38898
train,28080
train,41918
train,14025
train,43310
train,32885
train,1461
train,42219
train,6982
train,27906
train,13080
train,20163
train,756
train,2214
train,44834
train,21469
train,50598
train,27583
train,29061
train,19135
train,36569
train,12639
train,8876
train,31985
train,14073
train,31764
train,13335
train,40363
train,13698
train,10168
train,8231
train,548
train,29775
train,20668
train,24080
train,12010
train,34294
train,10285
train,15561
train,34349
train,22195
train,45188
train,36543
train,10743
train,34838
train,16378
train,2632
train,30424
train,27743
train,43231
train,7940
train,4964
train,12876
train,6821
train,6268
train,43642
train,6698
train,2780
train,16263
train,25817
train,26410
train,42082
train,22358
train,20242
train,20302
train,19695
train,23382
train,34335
train,11900
train,20028
train,26382
train,580
train,2824
train,40243
train,38355
train,5365
train,24291
train,4342
train,49497
train,202
train,4444
train,10003
train,34804
train,11214
train,35410
train,38826
train,34135
train,38483
train,6338
train,50594
train,5154
train,13005
train,40920
train,6461
train,3485
train,15684
train,9364
train,7080
train,36138
train,45879
train,38949
train,48513
train,30325
train,11462
train,45152
train,40164
train,16532
train,21768
train,1949
train,35167
train,7893
train,4690
train,43133
train,46391
train,1281
train,40036
train,19079
train,23606
train,24436
train,10995
train,32847
train,48300
train,30699
train,43568
train,41014
train,20590
train,3299
train,49004
train,24705
train,35235
train,39382
train,29183
train,38321
train,12138
train,22131
train,8691
train,40384
train,7405
train,10662
train,38678
train,24434
train,12967
train,536
train,6357
train,36236
train,3001
train,16891
train,34114
train,50804
train,11616
train,35210
train,7713
train,20253
train,11974
train,42921
train,33055
train,31435
train,15804
train,42876
train,25613
train,2089
train,42826
train,46923
train,5493
train,22895
train,5668
train,39939
train,38370
train,35060
train,1048
train,43679
train,48707
train,43531
train,7356
train,4591
train,25318
train,48874
train,18223
train,24742
train,39158
train,26721
train,31041
train,27605
train,8560
train,37506
train,25126
train,30857
train,13001
train,10424
train,31892
train,45207
train,19548
train,416
train,31287
train,10736
train,21412
train,48331
train,49858
train,10391
train,49036
train,24513
train,40219
train,2166
train,35616
train,39467
train,8497
train,17375
train,19423
train,14121
train,26119
train,46509
train,23137
train,29201
train,15621
train,14998
train,43672
train,6701
train,45424
train,6456
train,21541
train,48151
train,33934
train,36641
train,21274
train,43543
train,7453
train,36158
train,5607
train,29968
train,10547
train,19486
train,40471
train,24086
train,2497
train,11119
train,581
train,39822
train,39166
train,42085
train,2581
train,42787
train,1000
train,35424
train,34701
train,273
train,43469
train,23295
train,27662
train,18521
train,2563
train,24592
train,2819
train,11297
train,44894
train,28084
train,27458
train,12116
train,35093
train,40553
train,8119
train,14421
train,38569
train,17086
train,48451
train,50654
train,17378
train,35271
train,962
train,22740
train,43201
train,50613
train,40344
train,24099
train,16999
train,43841
train,12114
train,22970
train,28110
train,32025
train,33568
train,20422
train,22676
train,42029
train,49405
train,50382
train,50767
train,17157
train,37187
train,18403
train,43479
train,36155
train,28534
train,6937
train,19043
train,42738
train,29554
train,14657
train,18488
train,44019
train,41056
train,25681
train,2880
train,46619
train,43699
train,48425
train,33235
train,539
train,37983
train,25124
train,10129
train,46924
train,10590
train,33687
train,968
train,12022
train,28750
train,33701
train,3177
train,25779
train,19961
train,21539
train,23881
train,570
train,46385
train,10785
train,27
train,11793
train,6174
train,16887
train,11056
train,9591
train,14193
train,33599
train,35523
train,32224
train,19919
train,8297
train,484
train,16586
train,45614
train,43454
train,11345
train,7060
train,8164
train,13043
train,21933
train,20288
train,18995
train,23565
train,23812
train,37086
train,21615
train,20400
train,33908
train,8279
train,2232
train,14493
train,36331
train,42514
train,32027
train,47070
train,36106
train,37339
train,11442
train,40292
train,41944
train,7653
train,15417
train,6296
train,23223
train,7541
train,6612
train,43471
train,11568
train,4215
train,29017
train,26787
train,42674
train,48869
train,8528
train,15605
train,17528
train,698
train,25642
train,24681
train,36518
train,48061
train,18082
train,50781
train,2062
train,322
train,6844
train,13229
train,16722
train,28393
train,5063
train,32728
train,42846
train,4103
train,13424
train,29419
train,12665
train,26188
train,25562
train,29633
train,21383
train,25877
train,2189
train,17708
train,17888
train,30757
train,3041
train,42776
train,39327
train,31229
train,15397
train,9254
train,5036
train,12590
train,3120
train,44548
train,21769
train,46263
train,22498
train,26220
train,40525
train,22551
train,33490
train,33670
train,24014
train,29988
train,41938
train,18266
train,32877
train,17464
train,18823
train,32418
train,13262
train,987
train,3914
train,15017
train,49655
train,4165
train,11241
train,50462
train,11746
train,30494
train,25320
train,35629
train,1236
train,18394
train,21257
train,40933
train,24708
train,40314
train,45475
train,20815
train,21956
train,35177
train,13931
train,2568
train,28522
train,10651
train,37601
train,14162
train,10051
train,14300
